,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
186,"Jumpin (feat. Polo G)","NLE Choppa",225794,https://open.spotify.com/track/1z7LV5wkExwW8YJk0IrPUA
187,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,225696,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
188,"Kilby Girl","The Backseat Lovers",225605,https://open.spotify.com/track/1170VohRSx6GwE6QDCHPPH
189,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",225220,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
190,"Smells Like Teen Spirit - Remastered",Nirvana,225214,https://open.spotify.com/track/0gucTLf7trAf37Ua1uAyAu
191,"Love Is Only a Feeling","Joey Bada$$",225174,https://open.spotify.com/track/7umZiitjVsEjMQ6HNddpUI
192,"Watermelon Sugar","Harry Styles",224883,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
193,"too easy",Gunna,223619,https://open.spotify.com/track/2Hph3X77ySNgBCIak5CMc6
194,"The Less I Know The Better","Tame Impala",223377,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
195,"The Rumbling (TV Size)",SiM,223268,https://open.spotify.com/track/0KCSJzsQVxkloxoT7dyrqV
196,"No Idea","Don Toliver",223182,https://open.spotify.com/track/7AzlLxHn24DxjgQX73F9fU
197,"25 million","Roddy Ricch",222827,https://open.spotify.com/track/2lUDBd7JrgAMltcp6dcd7D
198,"'Till I Collapse",Eminem,221729,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS
199,"The Motto",Tiësto,221662,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
200,"Talking to the Moon","Bruno Mars",221296,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
