Position,Track_Name,Artist,Streams,URL
189,Te MarquÈ Pedo,Alex Luna,101358,https://open.spotify.com/track/4JfWJOuhXu0QVnev3jgC9S
190,Si Te Vienen a Contar,Cartel De Santa,101243,https://open.spotify.com/track/1qNUhmx3rGjiMRThz7Eruv
191,Todavia,La Factoria,100984,https://open.spotify.com/track/7gaovXojjqfn276uZR0omT
192,Belleza De Cantina,Cardenales De Nuevo LeÛn,100939,https://open.spotify.com/track/4ZplewvZRLFcfBa5uyBbhd
193,EL MAKINON,KAROL G,100689,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
194,MONEY,LISA,100625,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
195,good 4 u,Olivia Rodrigo,99455,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
196,Reloj,Rauw Alejandro,99444,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
197,S√°lvame,RBD,99279,https://open.spotify.com/track/3hbTkJ0yFzHbawnKyhvTQj
198,Fuerte No Soy,Intocable,98663,https://open.spotify.com/track/7A07Yu1dRND3RKDzbhKrDs
199,No Paras de Hacerme Feliz,La Fiera de Ojinaga,97272,https://open.spotify.com/track/5bP1RCdGcUxkwASwKAbPHa
200,2 Veces,Los Plebes del Rancho de Ariel Camacho,97222,https://open.spotify.com/track/4cV6ld7uIs906zOwNscoBM
201, La Vida Sigue Igual, Los Gritos ,1345718,https://open.spotify.com/track/4cV6ld7uIs906zOwNscoBM
202, Los Cuatro Muleros, Los Pekenikes,1127591,https://open.spotify.com/track/4cV6ld7uIs906zOwNscoBM
203,Mil Calles Llevan Hacia Ti, La Guardia ,1732306,https://open.spotify.com/track/4cV6ld7uIs906zOwNscoBM
204,Mediterr·neo, Los Rebeldes,768128,https://open.spotify.com/track/4cV6ld7uIs906zOwNscoBM
205, CuÈntame Al OÌdo,La Oreja De Van Gogh,893680,https://open.spotify.com/track/4cV6ld7uIs906zOwNscoBM
206,La Vie En Rose,…dith Piaf,964001,https://open.spotify.com/track/4cV6ld7uIs906zOwNscoBM
207,Se Le ApagÛ La Luz,Alejandro Sanz,1137141,https://open.spotify.com/track/4cV6ld7uIs906zOwNscoBM
208,Samba De Janeiro,Bellini,1547031,https://open.spotify.com/track/4cV6ld7uIs906zOwNscoBM
209, Aquellas PequeÒas Cosas,Joan Manuel Serrat,724558,https://open.spotify.com/track/4cV6ld7uIs906zOwNscoBM
210, El Hombre Resaka Baila Ska,Ska-P,1505923,https://open.spotify.com/track/4cV6ld7uIs906zOwNscoBM
211,ConstrucciÛn, Nacha Guevara,1613749,https://open.spotify.com/track/4cV6ld7uIs906zOwNscoBM
212,El Parque,VÌctor Y Diego,1038931,https://open.spotify.com/track/4cV6ld7uIs906zOwNscoBM
213,CompasiÛn,Los Payos,701470,https://open.spotify.com/track/4cV6ld7uIs906zOwNscoBM
