,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
148,"Take Me To Church",Hozier,836808,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
149,"Blank Space","Taylor Swift",836602,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g
150,"Shape of You","Ed Sheeran",832852,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
151,"Dance Monkey","Tones And I",832662,https://open.spotify.com/track/2N8m6CYs74qQO4mjVcXO30
152,Circles,"Post Malone",829921,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
153,"favorite crime","Olivia Rodrigo",827778,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
154,"The Nights",Avicii,826461,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
155,Falling,"Harry Styles",826430,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
156,"Waiting On A Miracle","Stephanie Beatriz",824821,https://open.spotify.com/track/3oRW9ZGPRbLRMneQ5lwflt
157,"Lucid Dreams","Juice WRLD",824728,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
158,"Polaroid Love",ENHYPEN,821841,https://open.spotify.com/track/5elW2CKSoqjYoJ32AGDxf1
159,"Space Song","Beach House",820879,https://open.spotify.com/track/7H0ya83CMmgFcOhw0UB6ow
160,Problemón,"Alvaro Diaz",817538,https://open.spotify.com/track/1mSviQV9iQnGSRyvTIuxAj
161,Cúrame,"Rauw Alejandro",817488,https://open.spotify.com/track/1FlL8ycld6uVDDyhV7P5FA
162,"Vai Lá Em Casa Hoje","George Henrique & Rodrigo",813761,https://open.spotify.com/track/1c4htMHiolERc0YJvZNdlc
163,"All of Me","John Legend",811711,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
164,Riptide,"Vance Joy",811374,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
165,"Mr. Brightside","The Killers",811172,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
166,"Praise God","Kanye West",808917,https://open.spotify.com/track/0WSEq9Ko4kFPt8yo3ICd6T
167,"Way 2 Sexy (with Future & Young Thug)",Drake,807923,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
168,"you broke me first","Tate McRae",807290,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
169,"Gangsta's Paradise",Coolio,806831,https://open.spotify.com/track/1DIXPcTDzTj8ZMHt3PDt8p
170,"I WANNA BE YOUR SLAVE",Måneskin,806750,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
171,"Ley Seca","Jhay Cortez",805053,https://open.spotify.com/track/3JCaq3KDSROg3TXhdiDa9n
172,"Say You Won't Let Go","James Arthur",803930,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
173,"One Dance",Drake,800051,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
174,Arcade,"Duncan Laurence",796452,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
175,Streets,"Doja Cat",795334,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
176,"Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]","La Pantera",794247,https://open.spotify.com/track/0Bv7O6fmZk3GrNQFYJaXPn
177,"WA DA DA",Kep1er,792954,https://open.spotify.com/track/0hQNbQKW2dDATH1ngj4TI6
178,"Still Don't Know My Name",Labrinth,792044,https://open.spotify.com/track/6N22FZs2ZhPBYi3b9XPajV
179,2055,"Sleepy Hallow",790194,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
180,Payphone,"Maroon 5",788615,https://open.spotify.com/track/1XGmzt0PVuFgQYYnV2It7A
181,"LA FAMA (with The Weeknd)",ROSALÍA,788105,https://open.spotify.com/track/6dmXZ9B5HdFAyzHeTneYBK
182,"Fair Trade (with Travis Scott)",Drake,786263,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
183,Bored,"Billie Eilish",783352,https://open.spotify.com/track/04sN26COy28wTXYj3dMoiZ
184,"Ella - Remix",Boza,782672,https://open.spotify.com/track/7iHHlCbsFou5DZSW5HCPfs
185,"The Night We Met","Lord Huron",782530,https://open.spotify.com/track/3hRV0jL3vUpRrcy398teAU
186,"Jocelyn Flores",XXXTENTACION,782061,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
187,RAPSTAR,"Polo G",779607,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
188,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,778738,https://open.spotify.com/track/1v7L65Lzy0j0vdpRjJewt1
189,"Enemy - From the series Arcane League of Legends","Imagine Dragons",778680,https://open.spotify.com/track/5UlnuulVAVmmesw4VzqHdG
190,"Die For You","The Weeknd",774039,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3
191,"Adore You","Harry Styles",774006,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
192,"Do I Wanna Know?","Arctic Monkeys",772742,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt
193,Memories,"Maroon 5",770200,https://open.spotify.com/track/4cktbXiXOapiLBMprHFErI
194,Shallow,"Lady Gaga",767904,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
195,goosebumps,"Travis Scott",765911,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
196,"Astronaut In The Ocean","Masked Wolf",763629,https://open.spotify.com/track/6E90gq0KO6FYZVOXx8kCcC
197,Enchanted,"Taylor Swift",761924,https://open.spotify.com/track/04S1pkp1VaIqjg8zZqknR5
198,ELEVEN,IVE,761587,https://open.spotify.com/track/7n2FZQsaLb7ZRfRPfEeIvr
199,"The Hills","The Weeknd",761406,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
200,Acapulco,"Jason Derulo",761123,https://open.spotify.com/track/3eJH2nAjvNXdmPfBkALiPZ
